MSOA,Total_Population,Total_Households,Total_Population_16_and_over,Total_Population_16_to_74,Total_Employment_16_to_74,Total_Population_in_Households_16_and_over,Age_0_to_4,Age_5_to_9,Age_10_to_14,Age_15_to_19,Age_20_to_24,Age_25_to_29,Age_30_to_44,Age_45_to_59,Age_60_to_64,Age_65_to_74,Age_75_to_84,Age_85_to_89,Age_90_and_over,White_British_and_Irish,White_Other_White,Mixed_or_multiple_ethnic_group,Asian_or_Asian_British_Indian,Asian_or_Asian_British_Pakistani,Asian_or_Asian_British_Bangladeshi,Asian_or_Asian_British_Chinese,Asian_or_Asian_British_Other_Asian,Black_or_African_or_Caribbean_or_Black_British_African,Arab_or_Other_Ethnic_Groups,Christian,Other_religion,No_religion,Religion_not_stated,Main_language_is_English_or_Main_language_not_English__Can_speak_English_very_well,Main_language_is_not_English__Can_speak_English_well,Main_language_is_not_English__Cannot_speak_English_well,Main_language_is_not_English__Cannot_speak_English,All_household_members_have_the_same_ethnic_group,Different_ethnic_groups_between_the_generations_only,Different_ethnic_groups_within_partnerships_(whether_or_not_different_ethnic_groups_between_generations),Any_other_combination_of_multiple_ethnic_groups,Owned_and_Shared_Ownership,Social_rented,Private_rented,Living_rent_free,Very_good_health,Good_health,Fair_health,Bad_health,Very_bad_health,No_qualifications,Highest_level_of_qualification_Level_1_Level_2_or_Apprenticeship,Highest_level_of_qualification_Level_3_qualifications,Highest_level_of_qualification_Level_4_qualifications_and_above,Schoolchildren_and_fulltime_students_Age_16_and_over,No_cars_or_vans_in_household,1_car_or_van_in_household,2_or_more_cars_or_vans_in_household,Work_mainly_at_or_from_home,Public_Transport,Private_Transport,On_foot_Bicycle_or_Other,Managers_directors_and_senior_officials,Professional_occupations,Associate_professional_and_technical_occupations,Administrative_and_secretarial_occupations,Skilled_trades_occupations,Caring_leisure_and_other_service_occupations,Sales_and_customer_service_occupations,Process_plant_and_machine_operatives,Elementary_occupations,Median_House_Price_201415,Average_Annual_Income_201516,Number_Births_201617
E02000327,6825,2357,4875,4738,2799,4487,755,603,494,502,656,678,1708,929,178,185,112,18,7,2879,369,412,97,37,53,177,370,2272,159,3761,1129,1557,378,5732,372,232,54,1106,233,177,120,468,1206,659,24,3785,2037,637,265,101,982,1695,569,1215,627,1244,907,206,186,1342,667,604,209,321,710,209,249,361,221,134,385,241000,41000,130
E02000328,6606,3070,5495,5004,3424,5401,436,341,275,299,383,530,1908,1146,315,482,309,119,63,4666,726,290,140,19,8,94,123,435,105,3253,428,2380,545,6100,177,64,13,1226,94,373,146,1505,889,656,20,3454,2060,754,252,86,808,939,469,2984,437,1233,1422,415,208,2129,685,402,495,1161,733,346,131,179,138,71,170,442550,60400,108
E02000329,6180,2364,4901,4541,2841,4890,404,374,394,431,393,437,1408,1275,282,422,256,69,35,3655,305,276,331,141,19,25,252,1027,149,3322,913,1458,487,5566,255,105,15,1287,131,172,116,1462,545,330,27,2859,2162,796,296,67,1150,1533,517,1216,444,750,1111,503,66,1234,1300,241,223,467,299,409,336,361,230,204,312,270000,43800,94
E02000331,7831,3236,6208,5787,3659,6182,613,455,460,553,598,678,2050,1258,300,445,277,93,51,4411,659,395,285,84,46,161,423,1227,140,4083,1111,2104,533,6797,425,160,28,1503,191,292,178,1433,1142,630,31,3865,2511,963,387,105,1424,1679,635,1999,718,1364,1374,498,139,1947,1219,354,377,784,491,415,353,341,281,208,409,259500,47400,130
E02000332,7253,2958,5745,5369,3555,5731,535,465,428,415,394,445,1803,1503,379,510,276,71,29,4444,527,422,248,95,21,51,169,1149,127,4164,700,1750,639,6596,238,96,13,1441,158,323,139,2003,495,435,25,3590,2586,791,233,53,920,1703,592,2111,436,858,1373,727,177,1606,1481,291,348,867,569,448,344,296,213,181,289,300500,50100,87
E02000333,6269,3005,5284,4789,3501,5167,418,256,254,240,298,591,1898,1058,296,465,310,108,77,4643,663,226,135,18,8,63,134,308,71,3175,387,2182,525,5828,127,44,10,1253,76,336,135,1605,469,890,41,3510,1940,588,174,57,497,824,505,3211,299,961,1527,517,236,2076,783,406,544,1261,764,364,129,148,123,48,120,455000,67000,73
E02000334,6469,2585,5186,4775,3016,5180,427,375,407,407,400,466,1535,1281,334,426,277,81,53,3842,578,307,218,67,61,151,215,892,138,3641,861,1498,469,5670,376,154,19,1324,136,229,106,1532,725,297,31,2933,2213,914,300,109,1278,1478,512,1513,432,751,1203,631,117,1310,1331,258,307,607,392,370,308,303,235,174,320,286000,46300,77
E02000335,6549,2637,5310,4822,3357,5310,369,341,441,399,373,298,1489,1404,388,559,367,78,43,5401,390,178,91,3,15,103,107,204,57,3950,282,1723,594,6154,119,46,12,1582,79,223,53,2054,376,193,14,3195,2285,783,221,65,1133,1843,574,1463,364,588,1233,816,148,1374,1513,322,344,654,436,566,372,303,234,206,242,350000,54300,86
E02000337,7906,2998,6265,5836,3510,6265,547,440,537,583,540,518,1783,1591,385,553,309,83,37,5664,667,247,144,44,11,134,175,687,133,4517,584,2220,585,7151,296,114,12,1776,136,224,83,1426,1275,265,32,3463,2738,1135,431,139,1960,1928,607,1334,506,977,1420,601,80,1628,1468,334,278,504,383,446,472,432,333,233,429,290000,43700,117
E02000339,5970,2502,4879,4352,2915,4872,363,321,342,359,339,314,1206,1285,405,509,365,114,48,4994,319,163,93,17,2,91,92,164,35,3535,276,1666,493,5567,116,56,4,1342,68,199,60,1717,499,237,49,2813,2060,775,255,67,903,1429,527,1774,336,746,1121,635,163,1364,1123,265,368,756,394,403,261,227,192,144,170,420000,52600,70
